esfera,D_mm,S_m,t_s
Esfera 1,4.0,0.0,0.0
Esfera 1,4.0,0.05,3.38
Esfera 1,4.0,0.1,6.78
Esfera 1,4.0,0.15,10.21
Esfera 1,4.0,0.2,13.68
Esfera 1,4.0,0.25,17.08
Esfera 1,4.0,0.3,20.47
Esfera 1,4.0,0.35,23.89
Esfera 1,4.0,0.4,27.37
Esfera 1,4.0,0.45,30.77
Esfera 1,4.0,0.5,34.25
Esfera 1,4.0,0.55,37.72
Esfera 1,4.0,0.6,41.12
Esfera 1,4.0,0.65,44.57
Esfera 2,6.0,0.0,0.0
Esfera 2,6.0,0.05,1.61
Esfera 2,6.0,0.1,3.22
Esfera 2,6.0,0.15,4.87
Esfera 2,6.0,0.2,6.46
Esfera 2,6.0,0.25,8.04
Esfera 2,6.0,0.3,9.68
Esfera 2,6.0,0.35,11.29
Esfera 2,6.0,0.4,12.89
Esfera 2,6.0,0.45,14.49
Esfera 2,6.0,0.5,16.1
Esfera 2,6.0,0.55,17.74
Esfera 2,6.0,0.6,19.34
Esfera 2,6.0,0.65,20.94
Esfera 3,8.0,0.0,0.0
Esfera 3,8.0,0.05,0.96
Esfera 3,8.0,0.1,1.92
Esfera 3,8.0,0.15,2.9
Esfera 3,8.0,0.2,3.87
Esfera 3,8.0,0.25,4.83
Esfera 3,8.0,0.3,5.78
Esfera 3,8.0,0.35,6.75
Esfera 3,8.0,0.4,7.73
Esfera 3,8.0,0.45,8.67
Esfera 3,8.0,0.5,9.64
Esfera 3,8.0,0.55,10.61
Esfera 3,8.0,0.6,11.58
Esfera 3,8.0,0.65,12.53
Esfera 4,10.0,0.0,0.0
Esfera 4,10.0,0.05,0.66
Esfera 4,10.0,0.1,1.31
Esfera 4,10.0,0.15,1.96
Esfera 4,10.0,0.2,2.61
Esfera 4,10.0,0.25,3.25
Esfera 4,10.0,0.3,3.89
Esfera 4,10.0,0.35,4.54
Esfera 4,10.0,0.4,5.18
Esfera 4,10.0,0.45,5.83
Esfera 4,10.0,0.5,6.49
Esfera 4,10.0,0.55,7.15
Esfera 4,10.0,0.6,7.81
Esfera 4,10.0,0.65,8.47
